gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000197283,SYNGAP1,1.77247422995,0.096833749691,0.0763158693702,0.000774120755611,0.000133203581038,0.726350630842,0.847666503528,7,7,7
ENSG00000104957,CCDC130,-1.7718455705,-0.0963241276419,0.0764201956216,0.0658802754982,0.0931035840031,2.55568374785e-21,7.71685250868e-21,7,7,7
ENSG00000130770,ATPIF1,1.77082227724,0.0961538516197,0.0765902601931,0.0969503842913,0.104042579061,9.11060710913e-24,2.93819310074e-23,30,31,31
ENSG00000156869,FRRS1,-1.77074409256,-0.0985018734197,0.0766032666488,0.019171434765,0.0262063938501,7.75334009173e-07,1.39108081117e-06,28,28,28
ENSG00000173210,ABLIM3,-1.77058371421,-0.0992215294454,0.0766299521137,0.00473156355288,3.52154575423e-06,0.95462165194,1.0,23,24,24
ENSG00000168259,DNAJC7,1.77008848173,0.0938455737351,0.0767124020295,0.000254640214863,0.00174704637543,0.204799305312,0.257126073545,3,3,3
ENSG00000122512,PMS2,1.76997736412,0.0972171542433,0.0767309116304,0.139738805172,0.187624744824,1.85927094418e-43,9.29353229822e-43,27,27,27
ENSG00000222011,FAM185A,-1.76961107099,-0.0967914701626,0.076791953303,0.0623416382123,0.0920798464165,4.31758743682e-21,1.29448996427e-20,24,24,24
ENSG00000140993,TIGD7,-1.76954924712,-0.0990720484092,0.0768022599725,0.079462893843,0.0848256703479,1.74777148099e-19,4.99022288664e-19,59,59,59
ENSG00000196235,SUPT5H,-1.76917383461,-0.0991795059486,0.0768648692817,0.0264693724237,0.0411838091843,5.01742763476e-10,1.03597020501e-09,20,20,20
ENSG00000198001,IRAK4,1.76895389205,0.0973756268556,0.0769015694594,0.000192305607573,0.00166899906642,0.215225071936,0.269552652937,3,3,3
ENSG00000115507,OTX1,-1.76788141017,-0.0928549108418,0.0770807312061,0.241304799509,0.321395266146,1.61877506217e-79,1.54499176405e-78,26,26,26
ENSG00000108387,SEPT4,-1.76681144503,-0.0990647640201,0.0772598113431,0.0112065736939,0.0164107101898,9.59460069843e-05,0.000154260846923,18,18,18
ENSG00000110031,LPXN,-1.76675073914,-0.0967835393792,0.0772699818461,0.201820038766,0.203805055672,1.70777519703e-47,9.20716623826e-47,87,87,87
ENSG00000119977,TCTN3,1.76590185663,0.0968015027822,0.0774123156749,0.176648533338,0.189977284773,4.86746186657e-44,2.46101114183e-43,61,62,62
ENSG00000162434,JAK1,1.76556383782,0.0982901168321,0.0774690513929,0.00613027074096,0.00960243167036,0.00289560825915,0.00424747258952,24,24,24
ENSG00000138311,ZNF365,1.76543219333,0.0980598732345,0.0774911567959,0.0464168051061,0.0677588461614,9.57622393827e-16,2.43820694937e-15,29,29,29
ENSG00000112902,SEMA5A,1.76431891669,0.0959951951506,0.0776783008696,0.0485035405079,0.0928491125995,2.91163248179e-21,8.77754896263e-21,13,14,14
ENSG00000164715,LMTK2,-1.76429149103,-0.0989109181164,0.0776829158208,0.0489595580659,0.0794700989304,2.64219779473e-18,7.27280818273e-18,4,4,4
ENSG00000197451,HNRNPAB,1.76426685304,0.0947190364038,0.0776870618776,0.00863398105717,0.00666249112729,0.0131660356041,0.0183852687597,14,15,15
ENSG00000105784,RUNDC3B,1.7640594727,0.0992518759488,0.077721966781,0.019408272702,0.019476053499,2.11265972336e-05,3.5178054635e-05,34,34,34
ENSG00000076555,ACACB,1.76354925425,0.0974263816219,0.0778078977872,0.228788332061,0.284872520244,5.10296994051e-69,4.05864837479e-68,28,29,29
ENSG00000153558,FBXL2,1.76347819393,0.0986789970614,0.0778198719044,0.0012061706029,0.000280248088396,0.611687937549,0.722171192673,4,4,4
ENSG00000133935,C14orf1,-1.76334782561,-0.0979322171278,0.0778418436997,0.020082947395,0.0132163680686,0.000469395699908,0.000725209473723,40,40,40
ENSG00000154122,ANKH,-1.76307228561,-0.0942660459839,0.0778882988164,0.304231087677,0.358219255885,1.09619482668e-90,1.24251136508e-89,54,55,55
ENSG00000151151,IPMK,-1.76287778268,-0.0973975489735,0.0779211049465,0.161158188516,0.177129468508,7.01642348805e-41,3.34709575375e-40,35,35,35
ENSG00000175470,PPP2R2D,1.76207829604,0.100441453308,0.0780560697602,0.0387515049386,0.0578046981147,1.36902357965e-13,3.22219613431e-13,15,15,15
ENSG00000184792,OSBP2,-1.75975120312,-0.0993484231753,0.0784500000001,0.00118073298215,0.00141214931707,0.254324813503,0.315861585917,1,1,1
ENSG00000145757,SPATA9,-1.75928377106,-0.0956928481923,0.078529321704,0.00245718621322,0.0081010608466,0.00624135320742,0.00893239846735,9,10,10
