gene,gene_name,zscore,effect_size,pvalue,VAR_g,pred_perf_R2,pred_perf_p,pred_perf_q,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000143228,NUF2,0.902498255797,0.0513203296856,0.36679224756,0.00432560625155,0.00992340262679,0.00245994492672,0.00362943145848,7,7,7
ENSG00000152128,TMEM163,-0.902466413484,-0.0479915706234,0.366809155232,0.112311312417,0.107549596823,1.47564054246e-24,4.85406133484e-24,55,55,55
ENSG00000196405,EVL,-0.902371083147,-0.0481234322291,0.36685977676,0.0107707836855,0.00458798775309,0.039753752923,0.0532868593272,31,31,31
ENSG00000148450,MSRB2,0.902240458727,0.0484289805913,0.366929146932,0.215100954889,0.170946221623,2.23504625958e-39,1.03109612206e-38,73,75,75
VN1R1,VN1R1,-0.902085125546,-0.0492329726214,0.367011649726,0.192262077506,0.278368784316,3.32237310852e-67,2.56350182849e-66,59,61,61
ENSG00000110958,PTGES3,-0.902060836503,-0.0489421997642,0.367024551517,0.0077711849972,0.0063449293744,0.0155527072753,0.0215944241538,20,20,20
ENSG00000158106,RHPN1,-0.901535444154,-0.0520534259982,0.367303697259,0.107607657851,0.114733441152,3.47207181424e-26,1.19276624584e-25,55,55,55
ENSG00000187260,WDR86,0.901486669234,0.0484484489834,0.367329618527,0.457394865315,0.454438852581,3.45626025584e-123,6.27895225236e-122,81,82,82
LIME1,LIME1,0.901458858029,0.0483453583241,0.36734439921,0.10816829606,0.181995443825,4.52312191304e-42,2.20726338335e-41,11,11,11
ENSG00000214189,ZNF788,0.901356909952,0.0513245099324,0.367398584214,0.0173620589108,0.0261436905737,7.99532209308e-07,1.43312993043e-06,10,10,10
ENSG00000130244,FAM98C,-0.901167041026,-0.0512561084997,0.367499512078,0.0177136814923,0.033710607185,1.96234448809e-08,3.79029758801e-08,3,3,3
ENSG00000163219,ARHGAP25,0.901058559889,0.0513828856097,0.367557184714,0.0007121192495,0.000144567988965,0.715403118393,0.835556838907,6,6,6
ENSG00000166260,COX11,-0.90071023941,-0.051977724684,0.367742403039,0.169341615331,0.199157665141,2.51238584148e-46,1.32203891003e-45,41,41,41
ENSG00000185800,DMWD,-0.900619159905,-0.0498923061573,0.367790843867,0.0507538354851,0.0597676676269,5.16131086903e-14,1.23375000828e-13,36,36,36
ENSG00000134717,BTF3L4,-0.900605613491,-0.0494645962221,0.367798048895,0.00122605666146,0.00126734341124,0.280211963684,0.346151920248,3,3,3
ENSG00000177646,ACAD9,-0.899827714099,-0.0509414946316,0.368211943276,0.636801120014,0.46098782875,1.32702001295e-125,2.47917455185e-124,142,143,143
ENSG00000115756,HPCAL1,0.899803580441,0.0494468675541,0.368224788627,0.12507600845,0.180717075954,9.30923752617e-42,4.52109024547e-41,54,54,54
ENSG00000140319,SRP14,-0.899778231303,-0.0483619248268,0.368238281229,0.0666950776364,0.108064171426,1.12912776785e-24,3.72538623004e-24,16,16,16
ENSG00000152380,FAM151B,0.899134368784,0.0485237510274,0.368581093524,0.0754176173116,0.1191984869,3.3287640054e-27,1.16946254241e-26,60,62,62
ENSG00000008405,CRY1,-0.89910852082,-0.0498853700139,0.368594859923,0.00212402122698,0.00379655087419,0.0614588267904,0.0810365609828,10,10,10
ENSG00000124217,MOCS3,0.89910181653,0.0494896553155,0.368598430621,0.0140982870333,0.0186108524306,3.23594440932e-05,5.33758595055e-05,12,12,12
ENSG00000163565,IFI16,-0.899076426154,-0.052764178393,0.368611953706,0.00998675457871,0.0185141340173,3.3940238437e-05,5.589233314e-05,14,14,14
TNFAIP8L2,TNFAIP8L2,-0.898616639654,-0.0499042445784,0.368856892499,0.234735121462,0.161556558799,4.08591829447e-37,1.79804977803e-36,111,111,111
ENSG00000146433,TMEM181,-0.898481044144,-0.0509217915282,0.368929146658,0.00133880715665,0.00131069592639,0.272130599076,0.336863921093,2,3,3
ENSG00000175193,PARL,0.898333104016,0.0500779505,0.36900798888,0.0485613440761,0.0854288174633,1.28610805807e-19,3.68566780524e-19,3,3,3
ENSG00000092964,DPYSL2,-0.898309244197,-0.0500182036966,0.369020705554,0.00345211130732,0.00898032480424,0.00397606446276,0.00576938911964,7,7,7
ENSG00000196152,ZNF79,0.898271846673,0.0509406382441,0.369040638026,0.312869317159,0.365116202383,7.53788553128e-93,8.85651118042e-92,36,36,36
ENSG00000165672,PRDX3,-0.897919409356,-0.050549143603,0.369228516164,0.0289011415687,0.0270495502614,5.12903702479e-07,9.2769220892e-07,40,42,42
ENSG00000135929,CYP27A1,0.897886908973,0.048542323146,0.369245844542,0.507043527156,0.576246481404,1.02660711936e-173,3.53040270735e-172,44,44,44
ENSG00000121989,ACVR2A,0.897829983128,0.0463830124785,0.369276197173,0.0402006506738,0.0554519164892,4.39905118591e-13,1.01738196962e-12,22,22,22
ENSG00000139687,RB1,-0.897528059497,-0.0501808409903,0.36943720757,0.00921775349696,0.0185562472183,3.32426234698e-05,5.48120422786e-05,8,8,8
ENSG00000107864,CPEB3,0.897200129157,0.0499810934383,0.369612136311,0.00221316708269,1.15414956881e-05,0.917949610381,1.0,8,8,8
ENSG00000129951,LPPR3,-0.897168378307,-0.0469599231781,0.369629075984,0.00399488178764,0.000791449767467,0.393523680416,0.477397107374,13,14,14
ENSG00000249222,ATP5L2,-0.897035451801,-0.0501443657341,0.3697,8.43812266547e-05,0.00745749192994,0.00870260215539,0.0123156734704,1,1,1
ENSG00000115705,TPO,-0.896998269624,-0.0497461404813,0.369719840366,0.0745216091566,0.0888003572903,2.30804073815e-20,6.75387792984e-20,53,54,54
ENSG00000140006,WDR89,-0.896900319442,-0.0494433603275,0.369772109636,0.00195301430411,0.000262817940054,0.622986080588,0.734522394363,5,5,5
ENSG00000048028,USP28,0.896706339937,0.0474746496141,0.369875636699,0.00798990830879,0.0126289630886,0.000629623471957,0.000966636058882,19,19,19
ENSG00000157335,CLEC18C,-0.895931038184,-0.051730825827,0.370289595874,0.525473652697,0.557925118024,2.98094515634e-165,9.2381243892e-164,93,94,94
ENSG00000164483,SAMD3,0.895581936978,0.0484821176863,0.370476086444,0.179958482983,0.248574946661,4.24810835604e-59,2.86638499782e-58,34,35,35
ENSG00000160233,LRRC3,-0.895404865422,-0.048902144501,0.370570700718,0.0551853090619,0.0744355354311,3.35301272586e-17,8.90732767494e-17,25,25,25
ENSG00000153071,DAB2,-0.895296234875,-0.0496065582793,0.370628752476,0.00790934680276,0.00248428290437,0.13045003142,0.167022199264,27,28,28
ZFP91,ZFP91,0.895258410228,0.0487068119113,0.370648967151,0.00280117598499,0.00467142870688,0.0379905687253,0.0510117015681,6,6,6
ENSG00000161040,FBXL13,-0.895200284326,-0.0501916315551,0.370680032786,0.107200138063,0.0999738583489,7.46792522071e-23,2.35086145033e-22,84,85,85
ENSG00000171163,ZNF692,-0.89513769857,-0.0495993860788,0.370713483817,0.00579299587113,0.00435920130655,0.0450424626321,0.0600763823117,9,9,9
ENSG00000169641,LUZP1,0.894946609543,0.0500386967592,0.370815629274,0.0285151446085,0.0477184336362,2.01242185253e-11,4.40365645782e-11,23,23,23
ENSG00000213965,NUDT19,0.894914753307,0.0484212789204,0.370832659527,0.0474092315093,0.0500399443787,6.4003594105e-12,1.42397185466e-11,36,36,36
ENSG00000124615,MOCS1,0.894909558858,0.0496169425693,0.37083543651,0.450362661898,0.373866819836,1.25740419845e-95,1.53629598309e-94,192,193,193
ENSG00000185745,IFIT1,0.894770733,0.0491854631335,0.370909658431,0.00472765418215,0.0108579134839,0.00153305701141,0.0022908888016,4,4,4
ENSG00000167766,ZNF83,0.894394481658,0.0485539608878,0.371110863978,0.589101347588,0.607090977234,7.9857897769e-189,3.30757349533e-187,42,42,42
ENSG00000148358,GPR107,-0.894332550228,-0.0483924166399,0.371143989148,0.0207041187478,0.0201020243421,1.55234155188e-05,2.60711022939e-05,24,24,24
ENSG00000179588,ZFPM1,0.894220935273,0.048393869305,0.371203693102,0.0973959378587,0.126079883201,8.77805127013e-29,3.20887352981e-28,40,42,42
ENSG00000164556,FAM183B,-0.894182146827,-0.0493977570627,0.371224442824,0.158175711818,0.256634005067,2.9319381559e-61,2.05845188973e-60,32,32,32
ENSG00000247596,TWF2,-0.894051046827,-0.0542277165133,0.371294579566,0.0053189702212,0.00391992241495,0.0573829718065,0.075867408318,10,10,10
ENSG00000099203,TMED1,0.894022081782,0.0484799304714,0.371310076585,0.112334206052,0.142206329582,1.57317650397e-32,6.25613156212e-32,42,42,42
ENSG00000171174,RBKS,0.893753449908,0.0514994003635,0.371453820439,0.0112732551665,0.0174147391688,5.83970319609e-05,9.51443973228e-05,11,11,11
ENSG00000105879,CBLL1,-0.893636712658,-0.0479546822594,0.371516296839,0.00861133139926,0.0102825279976,0.00205053996368,0.00303900774858,19,19,19
ENSG00000143412,ANXA9,-0.893605871166,-0.0485166759504,0.37153280393,0.0132122285143,0.0254673639603,1.11382662663e-06,1.98594970886e-06,2,2,2
ENSG00000204228,HSD17B8,-0.893513359574,-0.0491913751289,0.371582321037,0.125664414097,0.154084677079,2.47668069599e-35,1.04552440535e-34,22,22,22
ENSG00000267534,S1PR2,0.893382590908,0.0508836385488,0.371652322341,0.109382001488,0.110345916213,3.44011555447e-25,1.14853642504e-24,42,42,42
ENSG00000099785,MARCH2,0.893289382283,0.0496933501448,0.371702222506,0.1553981027,0.197104254644,8.20151519341e-46,4.26965045899e-45,33,33,33
ENSG00000138316,ADAMTS14,-0.893209590865,-0.0490698854882,0.371744942937,0.00868800638343,0.0235130576364,2.90467402879e-06,5.07057145569e-06,2,2,2
ENSG00000080824,HSP90AA1,0.892920029591,0.050924427321,0.3719,0.000425314923773,4.69134497883e-05,0.835465763982,0.966612752759,1,1,1
ENSG00000138382,METTL5,-0.892919694936,-0.0514848655309,0.371900179227,0.00160928725123,0.00428234436051,0.0469809041406,0.0625984307978,2,2,2
ENSG00000256043,CTSO,0.892881522452,0.0500584157422,0.371920623195,0.0112749314487,0.00581004364704,0.0206283949078,0.0283135253575,17,17,17
ENSG00000186480,INSIG1,0.892719324692,0.0492804044501,0.372007498922,0.155956456842,0.203776899218,1.73590150291e-47,9.35497491605e-47,64,64,64
ATP6V1G2,ATP6V1G2,-0.892654433727,-0.0475240803135,0.37204225909,0.232002844289,0.247527187595,8.08109742517e-59,5.42487941829e-58,101,108,108
ENSG00000167900,TK1,0.892644415487,0.0489812559604,0.372047625743,0.0104737210147,0.00380839717931,0.0610544349947,0.0805436661975,29,29,29
C22orf32,C22orf32,-0.891926736382,-0.0491803694473,0.372432202889,0.833680287405,0.860863737903,0.0,0.0,29,29,29
ENSG00000120697,ALG5,-0.891916841091,-0.0480034181697,0.372437507124,0.0165812609437,0.0182782035648,3.81290439122e-05,6.26728612713e-05,35,35,35
ENSG00000058673,ZC3H11A,0.89190670123,0.0501007757809,0.372442942505,0.00111864521812,0.00134789919142,0.265426807807,0.328998351743,3,3,3
ENSG00000131771,PPP1R1B,0.891891030494,0.0497857075257,0.372451342758,0.276120113608,0.335516584225,9.97356647951e-84,1.02227116032e-82,45,45,45
ENSG00000122085,MTERFD2,-0.891799320996,-0.050882222486,0.372500505728,0.329050843016,0.3905509952,4.94935384958e-101,6.52531927455e-100,27,27,27
ENSG00000140443,IGF1R,-0.891789083661,-0.0489305652512,0.372505993934,0.0736267531257,0.10202522049,2.58837354648e-23,8.23664362905e-23,37,37,37
ENSG00000138785,INTS12,0.891573946423,0.0465884467542,0.372621339994,0.00513281501888,0.00410705498336,0.0517381849989,0.0686800679924,15,15,15
ENSG00000182308,DCAF4L1,-0.89149326027,-0.0498932462459,0.372664605667,0.0456262279531,0.0561937367414,3.045208223e-13,7.07255113827e-13,16,16,16
ENSG00000183569,SERHL2,0.890846370176,0.0491746367937,0.37301159472,0.0676661074014,0.0737620952032,4.70606790809e-17,1.24740632758e-16,61,63,63
ENSG00000142937,RPS8,-0.890541628042,-0.0474399369047,0.373175126395,0.039296891715,0.0767707831042,1.03330216494e-17,2.78714372609e-17,5,5,5
ENSG00000172382,PRSS27,-0.890041218636,-0.0530433940318,0.373443753936,0.00529933427959,0.00832841195419,0.00555262000106,0.00797617603162,12,12,12
ENSG00000232434,C9orf172,0.889712013542,0.0478760688074,0.373620541603,0.000286717194654,4.53684468562e-06,0.948501860466,1.0,2,2,2
ENSG00000107282,APBA1,-0.889457212249,-0.0485885743705,0.373757408959,0.0401796188123,0.0526455345277,1.76563842828e-12,4.00813921731e-12,42,43,43
ENSG00000197965,MPZL1,0.889414399568,0.0500283132972,0.373780408976,0.149721655021,0.181441709448,6.1841661487e-42,3.01115165784e-41,65,66,66
ENSG00000180914,OXTR,-0.889413247084,-0.0495812744172,0.373781028131,0.00183474456665,0.000139182588943,0.720528052986,0.841244126042,14,14,14
ENSG00000154764,WNT7A,0.889407044185,0.0489451636494,0.373784360556,0.00808482608279,0.0216190844479,7.36197769608e-06,1.25928062643e-05,4,4,4
ENSG00000101493,ZNF516,0.889393240979,0.0496799075392,0.37379177621,0.155272866551,0.20977019017,5.29501816426e-49,2.9501135466e-48,61,61,61
ENSG00000100012,SEC14L3,0.888975209288,0.0494033686761,0.374016403289,0.437143813672,0.515969983049,4.02189657879e-147,1.02659689611e-145,30,30,30
ENSG00000128011,LRFN1,-0.888815449987,-0.0486113571196,0.374102271141,0.02129358598,0.0276497279171,3.82224764503e-07,6.95535005978e-07,13,13,13
ENSG00000145022,TCTA,-0.88875428065,-0.0491241817283,0.374135151826,0.00522429756419,0.00307033230676,0.0926616788761,0.120252928611,10,10,10
ENSG00000151789,ZNF385D,0.888741625811,0.0487295464857,0.374141954473,0.0191338805483,0.0162320213937,0.000104821350421,0.000168099598977,41,41,41
ENSG00000159267,HLCS,0.888518835639,0.0488907466984,0.374261728541,0.300166008727,0.410790244231,8.64196287028e-108,1.26893303193e-106,48,48,48
ENSG00000128050,PAICS,0.888469913845,0.0489658338873,0.374288032527,0.00175668518393,0.00581018548632,0.0206268431733,0.0283135253575,3,3,3
ENSG00000137601,NEK1,0.888313365904,0.0512821583568,0.374372211999,0.0701600615907,0.109411702486,5.59829491296e-25,1.85684065219e-24,23,24,24
ENSG00000060491,OGFR,-0.88830274192,-0.0492442352833,0.374377925187,0.0284325844679,0.0172471921158,6.34375393039e-05,0.000103050793065,44,44,44
ENSG00000130724,CHMP2A,-0.888296655237,-0.0496587378559,0.374381198405,0.00372188635777,0.0030724317833,0.0925500092499,0.120119843499,4,4,4
ENSG00000165678,GHITM,-0.88792241549,-0.0495769980588,0.374582486261,0.0324747440736,0.0706841141636,2.21017459577e-16,5.75528066447e-16,7,7,7
ENSG00000135378,PRRG4,0.887687067271,0.0519882125175,0.374709104455,0.0520701078936,0.0542777410928,7.87092974816e-13,1.80511954924e-12,43,43,43
ENSG00000163975,MFI2,-0.887442273147,-0.0477115915755,0.374840832651,0.0892798887013,0.139749230123,5.91470138853e-32,2.32753307405e-31,37,37,37
A2LD1,A2LD1,0.887202768771,0.048541489946,0.374969742034,0.0542636699249,0.09520201484,8.70934311914e-22,2.66583216877e-21,7,7,7
ENSG00000151135,C12orf23,0.887112837313,0.0484291768985,0.375018153272,0.0491047140811,0.065562493353,2.87242321879e-15,7.166638798e-15,29,29,29
ENSG00000015676,NUDCD3,-0.887106884046,-0.049663782567,0.375021358127,0.167244569574,0.220201786466,1.14470569727e-51,6.74582493903e-51,71,71,71
ENSG00000165733,BMS1,-0.88705564308,-0.0529362321131,0.375048943658,0.00604871873716,0.00356625723924,0.0699141089267,0.0917261409178,13,13,13
ENSG00000095397,DFNB31,-0.887017446332,-0.0490907989661,0.375069507661,0.269332596874,0.330649703319,2.8832837929e-82,2.88131493446e-81,51,52,52
ENSG00000221990,C5orf55,-0.886799955785,-0.0493883824108,0.375186611436,0.172565396807,0.227820334222,1.23025675163e-53,7.47748577558e-53,29,30,30
ENSG00000136603,SKIL,-0.886729920271,-0.0487613538064,0.375224325576,0.0399105456258,0.0382771204193,2.09080316142e-09,4.20555412936e-09,44,45,45
ENSG00000158161,EYA3,0.886720752505,0.0467810989651,0.375229262593,0.165471647911,0.143634346707,7.27419847675e-33,2.90857523185e-32,62,64,64
ENSG00000171621,SPSB1,-0.886693814375,-0.0487974250116,0.375243769524,0.11723032194,0.155342284953,1.24424294015e-35,5.29496729069e-35,22,22,22
ENSG00000163507,KIAA1524,-0.886563793553,-0.0507291649882,0.375313794216,0.139495997157,0.196867141423,9.40030939888e-46,4.88793821921e-45,27,27,27
ENSG00000163026,C2orf44,0.886078903993,0.050428111458,0.375575010055,0.00622178054598,0.00714932177488,0.0102126864943,0.0143939319226,6,7,7
ENSG00000118965,WDR35,-0.886020399267,-0.0473968030533,0.375606534844,0.00617364366748,0.0104319029153,0.00190123851272,0.0028234538788,16,16,16
ENSG00000145194,ECE2,-0.885846961421,-0.049052736941,0.3757,1.58939120825e-05,0.000952634970567,0.349199070962,0.426572153927,1,1,1
ENSG00000132004,FBXW9,-0.885843155769,-0.0483122630658,0.375702051016,0.00138543566977,0.000623861094882,0.448745172408,0.540011207472,8,8,8
ENSG00000171189,GRIK1,0.88557644064,0.0504509526498,0.375845811539,0.0304810292509,0.0339729570016,1.72559631353e-08,3.34429503318e-08,16,16,16
ENSG00000163754,GYG1,0.885527051883,0.0486857253846,0.375872436003,0.0665296999984,0.105011073446,5.51453790157e-24,1.78852446938e-23,22,22,22
ENSG00000197780,TAF13,0.885358525181,0.0486961281347,0.375963294052,0.00467156474879,0.00651791772072,0.0142021116277,0.019783819381,10,10,10
ENSG00000231672,DIRC3,0.885107110188,0.0505441648739,0.376098864987,0.0246559930753,0.0850939056862,1.52494210551e-19,4.36061929475e-19,22,23,23
ENSG00000008323,PLEKHG6,-0.884962640464,-0.0501335098878,0.376176781292,0.00205189422936,0.00187335414932,0.189157795545,0.238115007658,3,3,3
ENSG00000133606,MKRN1,-0.884872172152,-0.0469883400093,0.376225578295,0.00206909228541,0.000916015808365,0.358636345972,0.437532355762,11,11,11
ENSG00000165119,HNRNPK,-0.884682213038,-0.0496712837828,0.376328051584,0.000663918360911,0.000651983927384,0.438694480405,0.528786034723,5,6,6
ENSG00000187994,RINL,-0.884584662796,-0.0478136688353,0.376380681675,0.0353329202825,0.0519192115897,2.52877601417e-12,5.71393187213e-12,16,16,16
ENSG00000121848,RNF115,0.884560920288,0.051416287626,0.376393491868,0.0122109130684,0.0111899799257,0.00129671626041,0.00194721808983,5,5,5
C9orf167,C9orf167,-0.884478914335,-0.0465636921586,0.376437739982,0.0252941266259,0.0632655863958,9.04082889324e-15,2.21538153215e-14,9,9,9
ENSG00000115750,TAF1B,0.88447335001,0.049954128901,0.376440742452,0.170010271885,0.248947873437,3.37832268659e-59,2.28301119062e-58,12,12,12
ENSG00000167077,MEI1,0.884218059955,0.0501780221077,0.376578511036,0.455825274015,0.509944829852,1.19785358593e-144,2.94345701124e-143,89,89,89
ENSG00000066135,KDM4A,0.884107717481,0.0481762769811,0.376638067544,0.0332067409661,0.0120548068486,0.000839522301341,0.00127978567488,65,66,66
ENSG00000110848,CD69,0.88394536594,0.0493248588405,0.376725706112,0.0160983206176,0.0171077056385,6.79655001073e-05,0.000110229479364,17,17,17
ENSG00000041353,RAB27B,-0.883661799524,-0.0498861364255,0.376878807539,0.0112828206069,0.0119283559001,0.000894524617131,0.00136079738187,15,15,15
ENSG00000073605,GSDMB,0.883475454531,0.0485500717142,0.376979438668,0.672831574672,0.668837693048,5.3192271946e-223,3.33616863714e-221,39,39,39
ENSG00000147421,HMBOX1,0.883249860951,0.0498523264083,0.377101287223,0.0448047573188,0.0746216974914,3.05296643937e-17,8.12007693314e-17,25,26,26
ENSG00000120049,KCNIP2,0.883200739682,0.0501352149426,0.377127822029,0.0252370197244,0.0545767854306,6.78728511436e-13,1.56012796233e-12,13,13,13
ENSG00000115310,RTN4,0.883118950347,0.0491570432993,0.377172006343,0.0592359932144,0.0829675111484,4.49145642984e-19,1.26783053231e-18,23,23,23
ENSG00000112685,EXOC2,-0.883106598539,-0.0500098055913,0.377178679326,0.280530657504,0.330008249709,4.4839835751e-82,4.45724888057e-81,73,73,73
AKD1,AKD1,-0.883075343758,-0.0492593979286,0.377195564842,0.14084589848,0.204207619591,1.35198759387e-47,7.30095473506e-47,33,33,33
ENSG00000248099,INSL3,-0.882937271761,-0.0485799611266,0.377270164344,0.168691918437,0.217219853946,6.66969645568e-51,3.86308584071e-50,68,68,68
ENSG00000146425,DYNLT1,-0.882718432881,-0.0483850410946,0.377388420359,0.0244159251233,0.0581789635752,1.13680468164e-13,2.68330725122e-13,10,10,10
ENSG00000198707,CEP290,0.882605467564,0.0493273259727,0.377449473426,0.00555963234573,0.00152181319256,0.236661068388,0.294952964774,11,11,11
ENSG00000144554,FANCD2,-0.88235218464,-0.0482760350947,0.377586384462,0.0535303960354,0.100903712271,4.6209168419e-23,1.46232810487e-22,18,18,18
ENSG00000204264,PSMB8,0.882211106233,0.0485580963552,0.377662657081,0.0982702075937,0.117519003597,8.05142151793e-27,2.80246492634e-26,34,34,34
ENSG00000213799,ZNF845,0.882157658114,0.0478680255341,0.377691555748,0.0204808456182,0.0234554618182,2.98794196927e-06,5.21247465924e-06,20,20,20
ENSG00000197279,ZNF165,0.88215168319,0.0473256194774,0.377694786392,0.0327077907777,0.039185712404,1.33857916187e-09,2.71404343304e-09,21,21,21
ENSG00000143842,SOX13,0.881924374553,0.0481230282463,0.377817704929,0.0107187887926,0.00666613099305,0.0131409759087,0.0183522207288,28,28,28
ENSG00000144455,SUMF1,0.881847820043,0.049099750919,0.377859107796,0.420542055882,0.517315983378,1.11571707468e-147,2.85341933797e-146,35,35,35
ENSG00000179909,ZNF154,-0.881769690918,-0.0474941783953,0.377901365142,0.021401072627,0.0196592099375,1.93044453138e-05,3.22540719559e-05,29,29,29
ENSG00000141076,CIRH1A,-0.881700672385,-0.0497566450129,0.377938697306,0.166943300568,0.178337196209,3.55821208852e-41,1.70853851323e-40,73,74,74
ENSG00000204644,ZFP57,-0.881005686474,-0.0457706296836,0.378314742187,0.722510393712,0.831416942696,0.0,0.0,17,17,17
ENSG00000138592,USP8,-0.880957870346,-0.0487918994131,0.378340623138,0.0337606384191,0.0560865609216,3.21145198022e-13,7.45339806722e-13,35,35,35
ENSG00000152642,GPD1L,-0.880848625462,-0.0481433676387,0.378399757098,0.192741978157,0.335737808309,8.55434318108e-84,8.7885533571e-83,16,17,17
ENSG00000166105,GLB1L3,0.880671406045,0.0483294813397,0.378495697593,0.0505354380664,0.0816728676684,8.66076802437e-19,2.42394763385e-18,15,16,16
ENSG00000132016,C19orf57,-0.880261877807,-0.049317165483,0.378717459375,0.00417623182261,0.00621025808034,0.0166951579003,0.0231051722923,27,27,27
ENSG00000135486,HNRNPA1,-0.88024230868,-0.0482212824961,0.378728058166,0.00232821893494,0.00511458219456,0.02990182016,0.040522365812,6,6,6
ENSG00000124789,NUP153,0.880208574104,0.0492097120985,0.378746329503,0.00187743760209,0.00515256409677,0.0292977418121,0.0397487183155,6,6,6
ENSG00000105701,FKBP8,-0.880115765129,-0.0493844388915,0.378796599543,0.00647089539952,0.00429390767726,0.0466837392879,0.0622213651246,24,24,24
ENSG00000036257,CUL3,-0.880083820475,-0.0481256975813,0.378813903335,0.00207423459055,0.0025985510297,0.121920220854,0.156527071729,4,4,4
ENSG00000150403,TMCO3,-0.879981994544,-0.047936160406,0.378869063689,0.0696033892002,0.116984949416,1.06587502721e-26,3.69827186075e-26,41,41,41
ENSG00000182230,FAM153B,-0.879649881877,-0.0484811323233,0.379049007542,0.0456337786683,0.0541493935671,8.38748392733e-13,1.91924167489e-12,31,31,31
ENSG00000178229,ZNF543,-0.87931219563,-0.0485970586929,0.379232025156,0.0364151526369,0.0674939250262,1.09340977808e-15,2.77268005143e-15,13,13,13
ENSG00000105669,COPE,-0.879244406366,-0.048485241419,0.379268771815,0.0433581233902,0.0616529428626,2.01959396982e-14,4.88433201919e-14,14,14,14
ENSG00000152270,PDE3B,0.879069715082,0.0495240501577,0.379363477157,0.00741811987178,0.00980381893087,0.00261391086687,0.0038501252547,13,14,14
ENSG00000143157,POGK,0.878787494673,0.0499527316286,0.379516507964,0.0179522179496,0.0346820052723,1.21903420594e-08,2.37478176697e-08,23,23,23
ENSG00000042317,SPATA7,0.87857332104,0.0474809457692,0.379632666515,0.0281078529405,0.0490850784894,1.02548133195e-11,2.26469058068e-11,21,21,21
ENSG00000135597,REPS1,0.878485591742,0.0487732049712,0.379680253417,0.123202112681,0.164888431984,6.47812058596e-38,2.90215395366e-37,63,63,63
ENSG00000124224,PPP4R1L,0.878442896712,0.0488263651619,0.37970341376,0.0140651464444,0.0105823211265,0.00176199587993,0.00262258421682,47,48,48
ENSG00000170558,CDH2,-0.878353618792,-0.0491779856394,0.379751846261,0.215688964151,0.242135928832,2.17993231416e-57,1.42490761835e-56,74,75,75
ENSG00000198925,ATG9A,0.878205663586,0.0520284286682,0.379832119046,0.000637463585225,9.00606341126e-07,0.977042551367,1.0,3,3,3
ENSG00000128294,TPST2,-0.878098773527,-0.048607028599,0.379890118512,0.104525019261,0.159209072819,1.489288702e-36,6.45881511164e-36,39,39,39
ENSG00000074803,SLC12A1,0.878059790882,0.0500243561869,0.379911272186,0.73180566482,0.850789331734,0.0,0.0,55,55,55
ENSG00000186665,C17orf58,0.877931285718,0.0501828354286,0.379981009788,0.000788429513501,0.000237508571149,0.640250191618,0.753191789371,3,3,3
ENSG00000035403,VCL,-0.877726271081,-0.0492246011689,0.38009228409,0.032691429749,0.0426967632451,2.38521184011e-10,5.00009949803e-10,20,21,21
ENSG00000158806,NPM2,-0.877237227976,-0.0472702062142,0.380357799311,0.073470961674,0.106348187812,2.75503858586e-24,9.00859315153e-24,23,23,23
ENSG00000166225,FRS2,0.877165188528,0.0479649275557,0.380396921176,0.00245584762708,0.00263324396065,0.119454248932,0.153525752604,6,6,6
ENSG00000169570,DTWD2,-0.876948370542,-0.0484910153826,0.380514681638,0.00904445500571,0.0254342391166,1.1320623777e-06,2.01819079274e-06,4,4,4
ENSG00000157045,NTAN1,0.876852904275,0.0486375571293,0.38056653938,0.0372495560488,0.0687781383689,5.74775948385e-16,1.47541882989e-15,9,9,9
ENSG00000162769,FLVCR1,0.876365782105,0.0505102894402,0.380831214108,0.374044646048,0.48043040465,5.95278457219e-133,1.25446600961e-131,52,52,52
OBFC2A,OBFC2A,-0.87618744328,-0.0469556708373,0.380928141634,0.0187587020361,0.0285313022572,2.48167288254e-07,4.55936860593e-07,27,27,27
ENSG00000048052,HDAC9,0.875985374072,0.0493221418644,0.381037984978,0.0036228505387,0.00153014087525,0.235381643458,0.293441706198,17,17,17
ENSG00000220205,VAMP2,-0.875928436073,-0.0476569403826,0.381068939569,0.243024436494,0.304408902192,1.4453622461e-74,1.25407550352e-73,20,20,20
ENSG00000159884,CCDC107,0.875630042608,0.0474132520233,0.381231187723,0.0302356159006,0.0293099016557,1.69471101539e-07,3.14115378323e-07,38,38,38
ENSG00000165097,KDM1B,0.875469752696,0.0547305309439,0.381318361099,0.133183275396,0.155194270355,1.3493176491e-35,5.73841225581e-35,45,45,45
ENSG00000167701,GPT,-0.875404886063,-0.0476260953224,0.381353642176,0.0090622081515,0.00451904796474,0.0412751268578,0.055230589845,16,16,16
ENSG00000080802,CNOT4,0.875378288984,0.0483153850786,0.381368108954,0.00584071091579,0.00697579432448,0.0111784694339,0.0157047062308,12,12,12
ENSG00000198146,ZNF770,-0.875295980426,-0.0469205718387,0.381412880651,0.0015982033523,0.00319616234386,0.0862195139446,0.112190991717,10,10,10
ENSG00000198853,RUSC2,0.875063718895,0.0493276090969,0.381539236584,0.0491074085966,0.0756137055918,1.85206998194e-17,4.95905951051e-17,6,6,6
